level,province_nesdc_en,type,sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Provincial,KHON KAEN,Current Market Prices,Gross provincial product (GPP),51724.69668,58685.03446,65369.60995,61516.14277,65153.95092,63401.4915,64695.33808,70862.38783,78249.6988,85057.28017,88078.91949,106223.4633,115098.1195,126809.4495,142325.5258,151979.9092,160520.4832,186022.5335,185231.8853,186201.6652,189957.9814,196067.9035,204050.6929,213942.1523,214769.775,208472.3574
Provincial,KHON KAEN,Current Market Prices,GPP Per capita (Baht),30379.516,34201.744,37805.941,35307.11,37113.238,35845.041,36562.867,40049.721,44245.105,48136.99,49913.046,60301.868,65485.351,72342.664,81451.281,87297.113,92357.292,107210.615,106934.529,107674.837,110032.797,113761.871,118592.616,124550.943,125167.642,121648.451
Provincial,KHON KAEN,Current Market Prices,"Population (1,000 persons)",1702.617531,1715.849133,1729.083001,1742.315962,1755.544749,1768.766,1769.427345,1769.360317,1768.550404,1766.983753,1764.647245,1761.528564,1757.616275,1752.899901,1747.37,1740.95,1738.038,1735.113,1732.199,1729.296,1726.376,1723.494,1720.602,1717.708,1715.857,1713.728
Provincial,KHON KAEN,Chain Volume Measures,Agriculture,5181.503508,5610.089929,5294.592587,5563.596412,6210.585392,6849.031587,7182.312114,7269.837246,8278.819267,8579.411552,7994.449187,8734.477617,9590.121176,9966.359898,9718.111895,9727.850206,11296.99987,10823.74851,10457.312,10799.77651,9997.600279,10477.3822,10788.45847,11466.94998,10548.21295,10113.51893
Provincial,KHON KAEN,Chain Volume Measures,Agriculture,5181.503508,5610.089929,5294.592587,5563.596412,6210.585392,6849.031587,7182.312114,7269.837246,8278.819267,8579.411552,7994.449187,8734.477617,9590.121176,9966.359898,9718.111895,9727.850206,11296.99987,10823.74851,10457.312,10799.77651,9997.600279,10477.3822,10788.45847,11466.94998,10548.21295,10113.51893
Provincial,KHON KAEN,Chain Volume Measures,"Agriculture, forestry and fishing",5181.503508,5610.089929,5294.592587,5563.596412,6210.585392,6849.031587,7182.312114,7269.837246,8278.819267,8579.411552,7994.449187,8734.477617,9590.121176,9966.359898,9718.111895,9727.850206,11296.99987,10823.74851,10457.312,10799.77651,9997.600279,10477.3822,10788.45847,11466.94998,10548.21295,10113.51893
Provincial,KHON KAEN,Chain Volume Measures,Non-Agriculture,57359.77411,62032.71498,66986.74447,57821.74029,62882.12323,59691.44776,59155.53681,63592.55059,68714.73976,72098.11973,72541.76298,83456.74639,89011.56141,95267.4207,100892.5773,102761.7716,105897.8141,121026.2231,114880.5391,114000.3953,116907.1237,116415.1387,121408.5536,125462.255,125850.1988,121394.4443
Provincial,KHON KAEN,Chain Volume Measures,Industrial,19946.13337,19913.22807,25753.08094,22204.51761,25520.11797,22981.75389,21178.26727,23455.53697,26621.09226,28526.8537,28571.56792,38729.43738,42057.89231,48578.50414,48019.99216,48827.46074,49825.18048,58405.72113,53854.16386,55825.42208,54585.95246,50974.3193,53755.98884,55909.85943,53489.0083,46927.52707
Provincial,KHON KAEN,Chain Volume Measures,Mining and quarrying,2605.167882,2782.261544,3185.629842,3271.070038,3472.468644,2644.639486,2246.852159,2185.470297,1847.958721,1384.402135,1296.280432,1398.097297,1193.635864,1110.597587,1054.610471,941.161856,1012.12377,892.729386,807.164378,728.053063,766.365865,713.807665,582.333487,693.9144,739.028866,662.324191
Provincial,KHON KAEN,Chain Volume Measures,Manufacturing,16004.82033,15965.14179,21259.43977,17645.03447,20828.09919,18869.26092,17423.57317,19798.68027,23318.88819,25615.70755,25597.10372,35617.57872,39028.17897,45488.52497,44843.10225,45612.76802,46489.17581,54826.78951,50486.43432,52481.81006,51104.92807,47460.84712,50362.48409,51990.7428,49370.2461,43034.41123
